,Price,Open,High,Low
2016-01-09,,,,
2016-01-10,,,,
2016-01-11,25877.0,26075.0,26110.0,25831.0
2016-01-12,25689.0,25876.0,25966.0,25630.0
2016-01-13,25750.0,25660.0,25794.0,25530.0
2016-01-14,25652.0,25800.0,26028.0,25609.0
2016-01-15,26126.0,25630.0,26220.0,25630.0
2016-01-16,,,,
2016-01-17,,,,
2016-01-18,26070.0,26073.0,26110.0,25971.0
2016-01-19,26064.0,26041.0,26085.0,25873.0
2016-01-20,26563.0,26100.0,26661.0,26100.0
2016-01-21,26190.0,26473.0,26513.0,26150.0
2016-01-22,26168.0,26254.0,26301.0,26113.0
2016-01-23,,,,
2016-01-24,,,,
2016-01-25,26391.0,26170.0,26444.0,26170.0
2016-01-26,,,,
2016-01-27,26736.0,26450.0,26819.0,26450.0
2016-01-28,26701.0,26850.0,26900.0,26600.0
2016-01-29,26709.0,26679.0,26763.0,26527.0
2016-01-30,,,,
2016-01-31,,,,
2016-02-01,26973.0,26755.0,27049.0,26645.0
2016-02-02,27008.0,27782.0,27782.0,26861.0
2016-02-03,27285.0,27134.0,27325.0,26976.0
2016-02-04,27656.0,27235.0,27800.0,27207.0
2016-02-05,27568.0,27770.0,28113.0,26850.0
2016-02-06,,,,
2016-02-07,,,,
2016-02-08,28367.0,27496.0,28429.0,27496.0
2016-02-09,28325.0,28345.0,28423.0,28078.0
2016-02-10,28211.0,28238.0,28250.0,27935.0
2016-02-11,29706.0,28250.0,30000.0,28250.0
2016-02-12,29287.0,29517.0,29722.0,29251.0
2016-02-13,,,,
2016-02-14,,,,
2016-02-15,28595.0,29251.0,29251.0,28521.0
2016-02-16,28800.0,28550.0,28969.0,28111.0
2016-02-17,28781.0,28790.0,28940.0,28637.0
2016-02-18,29210.0,28780.0,29270.0,28614.0
2016-02-19,29432.0,29229.0,29547.0,29180.0
2016-02-20,,,,
2016-02-21,,,,
2016-02-22,28916.0,29340.0,29340.0,28762.0
2016-02-23,29234.0,29095.0,29317.0,29077.0
2016-02-24,29523.0,29310.0,29884.0,29210.0
2016-02-25,29735.0,29470.0,29765.0,29363.0
2016-02-26,29290.0,29588.0,29692.0,29135.0
2016-02-27,,,,
2016-02-28,,,,
2016-02-29,29437.0,29236.0,29625.0,29236.0
2016-03-01,29097.0,29600.0,29754.0,29080.0
2016-03-02,29219.0,29009.0,29240.0,28960.0
2016-03-03,29381.0,29209.0,29525.0,29120.0
2016-03-04,29519.0,29684.0,29983.0,29233.0
2016-03-05,,,,
2016-03-06,,,,
2016-03-07,29597.0,29875.0,29960.0,29556.0
2016-03-08,29819.0,29760.0,30147.0,29760.0
2016-03-09,29597.0,29750.0,29750.0,29317.0
2016-03-10,29928.0,29500.0,29950.0,29088.0
2016-03-11,29504.0,29905.0,29920.0,29470.0
2016-03-12,,,,
2016-03-13,,,,
2016-03-14,29204.0,29449.0,29570.0,29140.0
2016-03-15,29050.0,29109.0,29249.0,28885.0
2016-03-16,28970.0,29080.0,29157.0,28935.0
2016-03-17,29357.0,29044.0,29590.0,29044.0
2016-03-18,29135.0,29400.0,29460.0,29011.0
2016-03-19,,,,
2016-03-20,,,,
2016-03-21,28937.0,29102.0,29119.0,28831.0
2016-03-22,29047.0,28950.0,29337.0,28893.0
2016-03-23,28568.0,29000.0,29000.0,28510.0
2016-03-24,28560.0,28503.0,28626.0,28450.0
2016-03-25,,,,
2016-03-26,,,,
2016-03-27,,,,
2016-03-28,28400.0,28452.0,28487.0,28250.0
2016-03-29,28616.0,28388.0,28666.0,28281.0
2016-03-30,28301.0,28627.0,28692.0,28226.0
2016-03-31,28441.0,28290.0,28539.0,28290.0
2016-04-01,28056.0,28410.0,28530.0,27955.0
2016-04-02,,,,
2016-04-03,,,,
2016-04-04,28086.0,28096.0,28187.0,28032.0
2016-04-05,28562.0,28224.0,28699.0,28190.0
2016-04-06,28571.0,28700.0,28749.0,28510.0
2016-04-07,28972.0,28639.0,29030.0,28618.0
2016-04-08,29047.0,29000.0,29074.0,28765.0
2016-04-09,,,,
2016-04-10,,,,
2016-04-11,29254.0,29099.0,29315.0,29063.0
2016-04-12,29250.0,29190.0,29395.0,29152.0
2016-04-13,29128.0,29212.0,29212.0,28980.0
2016-04-14,28731.0,29020.0,29050.0,28705.0
2016-04-15,28918.0,28799.0,28950.0,28772.0
2016-04-16,,,,
2016-04-17,,,,
2016-04-18,28935.0,28950.0,29128.0,28901.0
2016-04-19,29255.0,29050.0,29299.0,29050.0
2016-04-20,29249.0,29289.0,29345.0,29101.0
2016-04-21,29287.0,29216.0,29670.0,29140.0
2016-04-22,28941.0,29321.0,29343.0,28914.0
2016-04-23,,,,
2016-04-24,,,,
2016-04-25,29183.0,29050.0,29200.0,28983.0
2016-04-26,29158.0,29151.0,29199.0,28981.0
2016-04-27,29319.0,29200.0,29355.0,29200.0
2016-04-28,29627.0,29268.0,29650.0,29200.0
2016-04-29,30138.0,29651.0,30192.0,29651.0
2016-04-30,,,,
2016-05-01,,,,
2016-05-02,30213.0,30177.0,30342.0,30120.0
2016-05-03,30154.0,30175.0,30337.0,30050.0
2016-05-04,29934.0,30145.0,30200.0,29920.0
2016-05-05,29868.0,29912.0,30135.0,29832.0
2016-05-06,30366.0,29950.0,30400.0,29950.0
2016-05-07,,,,
2016-05-08,,,,
2016-05-09,29805.0,30312.0,30312.0,29750.0
